"","Date","Location","Customers"
"1",2020-01-01,"IdahoFalls",123
"2",2020-01-02,"IdahoFalls",73
"3",2020-01-03,"IdahoFalls",97
"4",2020-01-04,"IdahoFalls",112
"5",2020-01-05,"IdahoFalls",97
"6",2020-01-06,"IdahoFalls",78
"7",2020-01-07,"IdahoFalls",89
"8",2020-01-08,"IdahoFalls",83
"9",2020-01-09,"IdahoFalls",148
"10",2020-01-10,"IdahoFalls",58
"11",2020-01-11,"IdahoFalls",89
"12",2020-01-12,"IdahoFalls",95
"13",2020-01-13,"IdahoFalls",103
"14",2020-01-14,"IdahoFalls",41
"15",2020-01-15,"IdahoFalls",48
"16",2020-01-16,"IdahoFalls",101
"17",2020-01-17,"IdahoFalls",125
"18",2020-01-18,"IdahoFalls",49
"19",2020-01-19,"IdahoFalls",115
"20",2020-01-20,"IdahoFalls",146
"21",2020-01-21,"IdahoFalls",94
"22",2020-01-22,"IdahoFalls",74
"23",2020-01-23,"IdahoFalls",160
"24",2020-01-24,"IdahoFalls",81
"25",2020-01-25,"IdahoFalls",100
"26",2020-01-26,"IdahoFalls",147
"27",2020-01-27,"IdahoFalls",110
"28",2020-01-28,"IdahoFalls",129
"29",2020-01-29,"IdahoFalls",60
"30",2020-01-30,"IdahoFalls",47
"31",2020-01-31,"IdahoFalls",84
"32",2020-02-01,"IdahoFalls",188
"33",2020-02-02,"IdahoFalls",115
"34",2020-02-03,"IdahoFalls",105
"35",2020-02-04,"IdahoFalls",100
"36",2020-02-05,"IdahoFalls",114
"37",2020-02-06,"IdahoFalls",79
"38",2020-02-07,"IdahoFalls",49
"39",2020-02-08,"IdahoFalls",109
"40",2020-02-09,"IdahoFalls",61
"41",2020-02-10,"IdahoFalls",53
"42",2020-02-11,"IdahoFalls",119
"43",2020-02-12,"IdahoFalls",137
"44",2020-02-13,"IdahoFalls",150
"45",2020-02-14,"IdahoFalls",97
"46",2020-02-15,"IdahoFalls",103
"47",2020-02-16,"IdahoFalls",69
"48",2020-02-17,"IdahoFalls",124
"49",2020-02-18,"IdahoFalls",70
"50",2020-02-19,"IdahoFalls",79
"51",2020-02-20,"IdahoFalls",156
"52",2020-02-21,"IdahoFalls",126
"53",2020-02-22,"IdahoFalls",53
"54",2020-02-23,"IdahoFalls",67
"55",2020-02-24,"IdahoFalls",113
"56",2020-02-25,"IdahoFalls",103
"57",2020-02-26,"IdahoFalls",52
"58",2020-02-27,"IdahoFalls",147
"59",2020-02-28,"IdahoFalls",113
"60",2020-02-29,"IdahoFalls",163
"61",2020-03-01,"IdahoFalls",55
"62",2020-03-02,"IdahoFalls",115
"63",2020-03-03,"IdahoFalls",83
"64",2020-03-04,"IdahoFalls",152
"65",2020-03-05,"IdahoFalls",69
"66",2020-03-06,"IdahoFalls",112
"67",2020-03-07,"IdahoFalls",70
"68",2020-03-08,"IdahoFalls",125
"69",2020-03-09,"IdahoFalls",155
"70",2020-03-10,"IdahoFalls",154
"71",2020-03-11,"IdahoFalls",133
"72",2020-03-12,"IdahoFalls",137
"73",2020-03-13,"IdahoFalls",84
"74",2020-03-14,"IdahoFalls",86
"75",2020-03-15,"IdahoFalls",68
"76",2020-03-16,"IdahoFalls",92
"77",2020-03-17,"IdahoFalls",91
"78",2020-03-18,"IdahoFalls",145
"79",2020-03-19,"IdahoFalls",72
"80",2020-03-20,"IdahoFalls",95
"81",2020-03-21,"IdahoFalls",80
"82",2020-03-22,"IdahoFalls",64
"83",2020-03-23,"IdahoFalls",95
"84",2020-03-24,"IdahoFalls",68
"85",2020-03-25,"IdahoFalls",93
"86",2020-03-26,"IdahoFalls",175
"87",2020-03-27,"IdahoFalls",53
"88",2020-03-28,"IdahoFalls",139
"89",2020-03-29,"IdahoFalls",165
"90",2020-03-30,"IdahoFalls",86
"91",2020-03-31,"IdahoFalls",64
"92",2020-04-01,"IdahoFalls",86
"93",2020-04-02,"IdahoFalls",111
"94",2020-04-03,"IdahoFalls",98
"95",2020-04-04,"IdahoFalls",152
"96",2020-04-05,"IdahoFalls",63
"97",2020-04-06,"IdahoFalls",150
"98",2020-04-07,"IdahoFalls",122
"99",2020-04-08,"IdahoFalls",82
"100",2020-04-09,"IdahoFalls",115
"101",2020-04-10,"IdahoFalls",88
"102",2020-04-11,"IdahoFalls",82
"103",2020-04-12,"IdahoFalls",94
"104",2020-04-13,"IdahoFalls",102
"105",2020-04-14,"IdahoFalls",97
"106",2020-04-15,"IdahoFalls",75
"107",2020-04-16,"IdahoFalls",60
"108",2020-04-17,"IdahoFalls",131
"109",2020-04-18,"IdahoFalls",96
"110",2020-04-19,"IdahoFalls",140
"111",2020-04-20,"IdahoFalls",120
"112",2020-04-21,"IdahoFalls",61
"113",2020-04-22,"IdahoFalls",117
"114",2020-04-23,"IdahoFalls",78
"115",2020-04-24,"IdahoFalls",76
"116",2020-04-25,"IdahoFalls",59
"117",2020-04-26,"IdahoFalls",36
"118",2020-04-27,"IdahoFalls",67
"119",2020-04-28,"IdahoFalls",41
"120",2020-04-29,"IdahoFalls",74
"121",2020-04-30,"IdahoFalls",99
"122",2020-05-01,"IdahoFalls",115
"123",2020-05-02,"IdahoFalls",88
"124",2020-05-03,"IdahoFalls",74
"125",2020-05-04,"IdahoFalls",184
"126",2020-05-05,"IdahoFalls",88
"127",2020-05-06,"IdahoFalls",101
"128",2020-05-07,"IdahoFalls",73
"129",2020-05-08,"IdahoFalls",81
"130",2020-05-09,"IdahoFalls",89
"131",2020-05-10,"IdahoFalls",96
"132",2020-05-11,"IdahoFalls",169
"133",2020-05-12,"IdahoFalls",83
"134",2020-05-13,"IdahoFalls",135
"135",2020-05-14,"IdahoFalls",72
"136",2020-05-15,"IdahoFalls",67
"137",2020-05-16,"IdahoFalls",79
"138",2020-05-17,"IdahoFalls",147
"139",2020-05-18,"IdahoFalls",62
"140",2020-05-19,"IdahoFalls",109
"141",2020-05-20,"IdahoFalls",145
"142",2020-05-21,"IdahoFalls",107
"143",2020-05-22,"IdahoFalls",106
"144",2020-05-23,"IdahoFalls",117
"145",2020-05-24,"IdahoFalls",59
"146",2020-05-25,"IdahoFalls",106
"147",2020-05-26,"IdahoFalls",50
"148",2020-05-27,"IdahoFalls",119
"149",2020-05-28,"IdahoFalls",91
"150",2020-05-29,"IdahoFalls",116
"151",2020-05-30,"IdahoFalls",74
"152",2020-05-31,"IdahoFalls",211
"153",2020-06-01,"IdahoFalls",67
"154",2020-06-02,"IdahoFalls",142
"155",2020-06-03,"IdahoFalls",126
"156",2020-06-04,"IdahoFalls",92
"157",2020-06-05,"IdahoFalls",73
"158",2020-06-06,"IdahoFalls",121
"159",2020-06-07,"IdahoFalls",74
"160",2020-06-08,"IdahoFalls",75
"161",2020-06-09,"IdahoFalls",83
"162",2020-06-10,"IdahoFalls",143
"163",2020-06-11,"IdahoFalls",133
"164",2020-06-12,"IdahoFalls",83
"165",2020-06-13,"IdahoFalls",73
"166",2020-06-14,"IdahoFalls",123
"167",2020-06-15,"IdahoFalls",107
"168",2020-06-16,"IdahoFalls",74
"169",2020-06-17,"IdahoFalls",93
"170",2020-06-18,"IdahoFalls",85
"171",2020-06-19,"IdahoFalls",172
"172",2020-06-20,"IdahoFalls",103
"173",2020-06-21,"IdahoFalls",53
"174",2020-06-22,"IdahoFalls",79
"175",2020-06-23,"IdahoFalls",76
"176",2020-06-24,"IdahoFalls",100
"177",2020-06-25,"IdahoFalls",132
"178",2020-06-26,"IdahoFalls",32
"179",2020-06-27,"IdahoFalls",158
"180",2020-06-28,"IdahoFalls",119
"181",2020-06-29,"IdahoFalls",84
"182",2020-06-30,"IdahoFalls",141
"183",2020-07-01,"IdahoFalls",160
"184",2020-07-02,"IdahoFalls",112
"185",2020-07-03,"IdahoFalls",87
"186",2020-07-04,"IdahoFalls",139
"187",2020-07-05,"IdahoFalls",48
"188",2020-07-06,"IdahoFalls",32
"189",2020-07-07,"IdahoFalls",209
"190",2020-07-08,"IdahoFalls",93
"191",2020-07-09,"IdahoFalls",96
"192",2020-07-10,"IdahoFalls",143
"193",2020-07-11,"IdahoFalls",98
"194",2020-07-12,"IdahoFalls",64
"195",2020-07-13,"IdahoFalls",68
"196",2020-07-14,"IdahoFalls",107
"197",2020-07-15,"IdahoFalls",127
"198",2020-07-16,"IdahoFalls",101
"199",2020-07-17,"IdahoFalls",104
"200",2020-07-18,"IdahoFalls",102
"201",2020-07-19,"IdahoFalls",74
"202",2020-07-20,"IdahoFalls",109
"203",2020-07-21,"IdahoFalls",116
"204",2020-07-22,"IdahoFalls",54
"205",2020-07-23,"IdahoFalls",165
"206",2020-07-24,"IdahoFalls",84
"207",2020-07-25,"IdahoFalls",113
"208",2020-07-26,"IdahoFalls",68
"209",2020-07-27,"IdahoFalls",108
"210",2020-07-28,"IdahoFalls",71
"211",2020-07-29,"IdahoFalls",66
"212",2020-07-30,"IdahoFalls",83
"213",2020-07-31,"IdahoFalls",124
"214",2020-08-01,"IdahoFalls",131
"215",2020-08-02,"IdahoFalls",163
"216",2020-08-03,"IdahoFalls",90
"217",2020-08-04,"IdahoFalls",202
"218",2020-08-05,"IdahoFalls",135
"219",2020-08-06,"IdahoFalls",104
"220",2020-08-07,"IdahoFalls",157
"221",2020-08-08,"IdahoFalls",110
"222",2020-08-09,"IdahoFalls",55
"223",2020-08-10,"IdahoFalls",58
"224",2020-08-11,"IdahoFalls",102
"225",2020-08-12,"IdahoFalls",85
"226",2020-08-13,"IdahoFalls",114
"227",2020-08-14,"IdahoFalls",131
"228",2020-08-15,"IdahoFalls",132
"229",2020-08-16,"IdahoFalls",103
"230",2020-08-17,"IdahoFalls",149
"231",2020-08-18,"IdahoFalls",90
"232",2020-08-19,"IdahoFalls",143
"233",2020-08-20,"IdahoFalls",173
"234",2020-08-21,"IdahoFalls",84
"235",2020-08-22,"IdahoFalls",103
"236",2020-08-23,"IdahoFalls",127
"237",2020-08-24,"IdahoFalls",77
"238",2020-08-25,"IdahoFalls",71
"239",2020-08-26,"IdahoFalls",73
"240",2020-08-27,"IdahoFalls",93
"241",2020-08-28,"IdahoFalls",63
"242",2020-08-29,"IdahoFalls",127
"243",2020-08-30,"IdahoFalls",125
"244",2020-08-31,"IdahoFalls",93
"245",2020-09-01,"IdahoFalls",68
"246",2020-09-02,"IdahoFalls",149
"247",2020-09-03,"IdahoFalls",124
"248",2020-09-04,"IdahoFalls",112
"249",2020-09-05,"IdahoFalls",146
"250",2020-09-06,"IdahoFalls",56
"251",2020-09-07,"IdahoFalls",41
"252",2020-09-08,"IdahoFalls",48
"253",2020-09-09,"IdahoFalls",85
"254",2020-09-10,"IdahoFalls",100
"255",2020-09-11,"IdahoFalls",62
"256",2020-09-12,"IdahoFalls",66
"257",2020-09-13,"IdahoFalls",89
"258",2020-09-14,"IdahoFalls",138
"259",2020-09-15,"IdahoFalls",89
"260",2020-09-16,"IdahoFalls",115
"261",2020-09-17,"IdahoFalls",34
"262",2020-09-18,"IdahoFalls",57
"263",2020-09-19,"IdahoFalls",53
"264",2020-09-20,"IdahoFalls",90
"265",2020-09-21,"IdahoFalls",123
"266",2020-09-22,"IdahoFalls",94
"267",2020-09-23,"IdahoFalls",45
"268",2020-09-24,"IdahoFalls",101
"269",2020-09-25,"IdahoFalls",103
"270",2020-09-26,"IdahoFalls",92
"271",2020-09-27,"IdahoFalls",78
"272",2020-09-28,"IdahoFalls",113
"273",2020-09-29,"IdahoFalls",81
"274",2020-09-30,"IdahoFalls",71
"275",2020-10-01,"IdahoFalls",70
"276",2020-10-02,"IdahoFalls",89
"277",2020-10-03,"IdahoFalls",79
"278",2020-10-04,"IdahoFalls",96
"279",2020-10-05,"IdahoFalls",164
"280",2020-10-06,"IdahoFalls",128
"281",2020-10-07,"IdahoFalls",117
"282",2020-10-08,"IdahoFalls",190
"283",2020-10-09,"IdahoFalls",101
"284",2020-10-10,"IdahoFalls",101
"285",2020-10-11,"IdahoFalls",116
"286",2020-10-12,"IdahoFalls",87
"287",2020-10-13,"IdahoFalls",90
"288",2020-10-14,"IdahoFalls",81
"289",2020-10-15,"IdahoFalls",47
"290",2020-10-16,"IdahoFalls",124
"291",2020-10-17,"IdahoFalls",100
"292",2020-10-18,"IdahoFalls",84
"293",2020-10-19,"IdahoFalls",117
"294",2020-10-20,"IdahoFalls",135
"295",2020-10-21,"IdahoFalls",63
"296",2020-10-22,"IdahoFalls",107
"297",2020-10-23,"IdahoFalls",112
"298",2020-10-24,"IdahoFalls",60
"299",2020-10-25,"IdahoFalls",150
"300",2020-10-26,"IdahoFalls",93
"301",2020-10-27,"IdahoFalls",75
"302",2020-10-28,"IdahoFalls",92
"303",2020-10-29,"IdahoFalls",107
"304",2020-10-30,"IdahoFalls",57
"305",2020-10-31,"IdahoFalls",127
"306",2020-11-01,"IdahoFalls",85
"307",2020-11-02,"IdahoFalls",90
"308",2020-11-03,"IdahoFalls",61
"309",2020-11-04,"IdahoFalls",126
"310",2020-11-05,"IdahoFalls",111
"311",2020-11-06,"IdahoFalls",86
"312",2020-11-07,"IdahoFalls",136
"313",2020-11-08,"IdahoFalls",126
"314",2020-11-09,"IdahoFalls",148
"315",2020-11-10,"IdahoFalls",33
"316",2020-11-11,"IdahoFalls",89
"317",2020-11-12,"IdahoFalls",78
"318",2020-11-13,"IdahoFalls",62
"319",2020-11-14,"IdahoFalls",69
"320",2020-11-15,"IdahoFalls",90
"321",2020-11-16,"IdahoFalls",78
"322",2020-11-17,"IdahoFalls",115
"323",2020-11-18,"IdahoFalls",111
"324",2020-11-19,"IdahoFalls",126
"325",2020-11-20,"IdahoFalls",94
"326",2020-11-21,"IdahoFalls",63
"327",2020-11-22,"IdahoFalls",80
"328",2020-11-23,"IdahoFalls",70
"329",2020-11-24,"IdahoFalls",74
"330",2020-11-25,"IdahoFalls",145
"331",2020-11-26,"IdahoFalls",110
"332",2020-11-27,"IdahoFalls",151
"333",2020-11-28,"IdahoFalls",119
"334",2020-11-29,"IdahoFalls",115
"335",2020-11-30,"IdahoFalls",100
"336",2020-12-01,"IdahoFalls",123
"337",2020-12-02,"IdahoFalls",31
"338",2020-12-03,"IdahoFalls",126
"339",2020-12-04,"IdahoFalls",127
"340",2020-12-05,"IdahoFalls",46
"341",2020-12-06,"IdahoFalls",109
"342",2020-12-07,"IdahoFalls",136
"343",2020-12-08,"IdahoFalls",104
"344",2020-12-09,"IdahoFalls",64
"345",2020-12-10,"IdahoFalls",115
"346",2020-12-11,"IdahoFalls",93
"347",2020-12-12,"IdahoFalls",72
"348",2020-12-13,"IdahoFalls",96
"349",2020-12-14,"IdahoFalls",65
"350",2020-12-15,"IdahoFalls",91
"351",2020-12-16,"IdahoFalls",110
"352",2020-12-17,"IdahoFalls",135
"353",2020-12-18,"IdahoFalls",153
"354",2020-12-19,"IdahoFalls",21
"355",2020-12-20,"IdahoFalls",152
"356",2020-12-21,"IdahoFalls",91
"357",2020-12-22,"IdahoFalls",53
"358",2020-12-23,"IdahoFalls",84
"359",2020-12-24,"IdahoFalls",76
"360",2020-12-25,"IdahoFalls",68
"361",2020-12-26,"IdahoFalls",69
"362",2020-12-27,"IdahoFalls",31
"363",2020-12-28,"IdahoFalls",64
"364",2020-12-29,"IdahoFalls",79
"365",2020-12-30,"IdahoFalls",101
